SYMBOL,NAME OF COMPANY
20MICRONS,20 Microns 
21STCENMGM,21st Century Management Services 
360ONE,360 ONE WAM 
3IINFOLTD,3i Infotech 
3MINDIA,3M India 
3PLAND,3P Land Holdings 
5PAISA,5Paisa Capital 
63MOONS,63 moons technologies 
A2ZINFRA,A2Z Infra Engineering 
AAATECH,AAA Technologies 
AAKASH,Aakash Exploration Services 
AAREYDRUGS,Aarey Drugs & Pharmaceuticals 
AARON,Aaron Industries 
AARTECH,Aartech Solonics 
AARTIDRUGS,Aarti Drugs 
AARTIIND,Aarti Industries 
AARTIPHARM,Aarti Pharmalabs 
AARTISURF,Aarti Surfactants 
AARVEEDEN,Aarvee Denims & Exports 
AARVI,Aarvi Encon 
AAVAS,Aavas Financiers 
ABAN,Aban Offshore 
ABB,ABB India 
ABBOTINDIA,Abbott India 
ABCAPITAL,Aditya Birla Capital 
ABFRL,Aditya Birla Fashion and Retail 
ABMINTLLTD,ABM International 
ABSLAMC,Aditya Birla Sun Life AMC 
ACC,ACC 
ACCELYA,Accelya Solutions India 
ACCURACY,Accuracy Shipping 
ACE,Action Construction Equipment 
ACEINTEG,Ace Integrated Solutions 
ACI,Archean Chemical Industries 
ACL,Andhra Cements 
ACLGATI,Allcargo Gati 
ADANIENSOL,Adani Energy Solutions 
ADANIENT,Adani Enterprises 
ADANIGREEN,Adani Green Energy 
ADANIPORTS,Adani Ports and Special Economic Zone 
ADANIPOWER,Adani Power 
ADFFOODS,ADF Foods 
ADL,Archidply Decor 
ADORWELD,Ador Welding 
ADROITINFO,Adroit Infotech 
ADSL,Allied Digital Services 
ADVANIHOTR,Advani Hotels & Resorts (India) 
ADVENZYMES,Advanced Enzyme Technologies 
AEGISCHEM,Aegis Logistics 
AEROFLEX,Aeroflex Industries 
AETHER,Aether Industries 
AFFLE,Affle (India) 
AGARIND,Agarwal Industrial Corporation 
AGI,AGI Greenpac 
AGRITECH,Agri-Tech (India) 
AGROPHOS,Agro Phos India 
AGSTRA,AGS Transact Technologies 
AHL,Abans Holdings 
AHLADA,Ahlada Engineers 
AHLEAST,Asian Hotels (East) 
AHLUCONT,Ahluwalia Contracts (India) 
AIAENG,AIA Engineering 
AIRAN,Airan 
AIROLAM,Airo Lam 
AJANTPHARM,Ajanta Pharma 
AJMERA,Ajmera Realty & Infra India 
AJOONI,Ajooni Biotech 
AKASH,Akash Infra-Projects 
AKG,Akg Exim 
AKI,AKI India 
AKSHAR,Akshar Spintex 
AKSHARCHEM,AksharChem India 
AKSHOPTFBR,Aksh Optifibre 
AKZOINDIA,Akzo Nobel India 
ALANKIT,Alankit 
ALBERTDAVD,Albert David 
ALEMBICLTD,Alembic 
ALICON,Alicon Castalloy 
ALKALI,Alkali Metals 
ALKEM,Alkem Laboratories 
ALKYLAMINE,Alkyl Amines Chemicals 
ALLCARGO,Allcargo Logistics 
ALLSEC,Allsec Technologies 
ALMONDZ,Almondz Global Securities 
ALOKINDS,Alok Industries 
ALPA,Alpa Laboratories 
ALPHAGEO,Alphageo (India) 
ALPSINDUS,Alps Industries 
AMBER,Amber Enterprises India 
AMBICAAGAR,Ambica Agarbathies & Aroma industries 
AMBIKCO,Ambika Cotton Mills 
AMBUJACEM,Ambuja Cements 
AMDIND,AMD Industries 
AMIORG,Ami Organics 
AMJLAND,Amj Land Holdings 
AMNPLST,Amines & Plasticizers 
AMRUTANJAN,Amrutanjan Health Care 
ANANDRATHI,Anand Rathi Wealth 
ANANTRAJ,Anant Raj 
ANDHRAPAP,ANDHRA PAPER 
ANDHRSUGAR,The Andhra Sugars 
ANGELONE,Angel One 
ANIKINDS,Anik Industries 
ANKITMETAL,Ankit Metal & Power 
ANMOL,Anmol India 
ANTGRAPHIC,Antarctica 
ANUP,The Anup Engineering 
ANURAS,Anupam Rasayan India 
APARINDS,Apar Industries 
APCL,Anjani Portland Cement 
APCOTEXIND,Apcotex Industries 
APEX,Apex Frozen Foods 
APLAPOLLO,APL Apollo Tubes 
APLLTD,Alembic Pharmaceuticals 
APOLLO,Apollo Micro Systems 
APOLLOHOSP,Apollo Hospitals Enterprise 
APOLLOPIPE,Apollo Pipes 
APOLLOTYRE,Apollo Tyres 
APOLSINHOT,Apollo Sindoori Hotels 
APTECHT,Aptech 
APTUS,Aptus Value Housing Finance India 
ARCHIDPLY,Archidply Industries 
ARCHIES,Archies 
ARE&M,Amara Raja Energy & Mobility 
ARENTERP,Rajdarshan Industries 
ARIES,Aries Agro 
ARIHANTCAP,Arihant Capital Markets 
ARIHANTSUP,Arihant Superstructures 
ARMANFIN,Arman Financial Services 
AROGRANITE,Aro Granite Industries 
ARROWGREEN,Arrow Greentech 
ARSHIYA,Arshiya 
ARSSINFRA,ARSS Infrastructure Projects 
ARTEMISMED,Artemis Medicare Services 
ARTNIRMAN,Art Nirman 
ARVEE,Arvee Laboratories (India) 
ARVIND,Arvind 
ARVINDFASN,Arvind Fashions 
ARVSMART,Arvind SmartSpaces 
ASAHIINDIA,Asahi India Glass 
ASAHISONG,Asahi Songwon Colors 
ASAL,Automotive Stampings and Assemblies 
ASALCBR,Associated Alcohols & Breweries .
ASHAPURMIN,Ashapura Minechem 
ASHIANA,Ashiana Housing 
ASHIMASYN,Ashima 
ASHOKA,Ashoka Buildcon 
ASHOKAMET,Ashoka Metcast 
ASHOKLEY,Ashok Leyland 
ASIANENE,Asian Energy Services 
ASIANHOTNR,Asian Hotels (North) 
ASIANPAINT,Asian Paints 
ASIANTILES,Asian Granito India 
ASKAUTOLTD,ASK Automotive 
ASMS,Bartronics India 
ASPINWALL,Aspinwall and Company 
ASTEC,Astec LifeSciences 
ASTERDM,Aster DM Healthcare 
ASTRAL,Astral 
ASTRAMICRO,Astra Microwave Products 
ASTRAZEN,AstraZeneca Pharma India 
ASTRON,Astron Paper & Board Mill 
ATALREAL,Atal Realtech 
ATAM,Atam Valves 
ATFL,Agro Tech Foods 
ATGL,Adani Total Gas 
ATL,Allcargo Terminals 
ATLANTAA,ATLANTAA 
ATUL,Atul 
ATULAUTO,Atul Auto 
AUBANK,AU Small Finance Bank 
AURIONPRO,Aurionpro Solutions 
AUROPHARMA,Aurobindo Pharma 
AURUM,Aurum PropTech 
AUSOMENT,Ausom Enterprise 
AUTOAXLES,Automotive Axles 
AUTOIND,Autoline Industries 
AVADHSUGAR,Avadh Sugar & Energy 
AVALON,Avalon Technologies 
AVANTIFEED,Avanti Feeds 
AVG,AVG Logistics 
AVONMORE,Avonmore Capital & Management Services 
AVROIND,AVRO INDIA 
AVTNPL,AVT Natural Products 
AWHCL,Antony Waste Handling Cell 
AWL,Adani Wilmar 
AXISBANK,Axis Bank 
AXISCADES,AXISCADES Technologies 
AXITA,Axita Cotton 
AYMSYNTEX,AYM Syntex 
AZAD,Azad Engineering 
BAFNAPH,Bafna Pharmaceuticals 
BAGFILMS,B.A.G Films and Media 
BAIDFIN,Baid Finserv 
BAJAJ-AUTO,Bajaj Auto 
BAJAJCON,Bajaj Consumer Care 
BAJAJELEC,Bajaj Electricals 
BAJAJFINSV,Bajaj Finserv 
BAJAJHCARE,Bajaj Healthcare 
BAJAJHIND,Bajaj Hindusthan Sugar 
BAJAJHLDNG,Bajaj Holdings & Investment 
BAJEL,Bajel Projects 
BAJFINANCE,Bajaj Finance 
BALAJITELE,Balaji Telefilms 
BALAMINES,Balaji Amines 
BALAXI,BALAXI PHARMACEUTICALS 
BALKRISHNA,Balkrishna Paper Mills 
BALKRISIND,Balkrishna Industries 
BALMLAWRIE,Balmer Lawrie & Company 
BALPHARMA,Bal Pharma 
BALRAMCHIN,Balrampur Chini Mills 
BANARBEADS,Banaras Beads 
BANARISUG,Bannari Amman Sugars 
BANCOINDIA,Banco Products (I) 
BANDHANBNK,Bandhan Bank 
BANG,Bang Overseas 
BANKA,Banka BioLoo 
BANKBARODA,Bank of Baroda
BANKINDIA,Bank of India
BANSWRAS,Banswara Syntex 
BARBEQUE,Barbeque Nation Hospitality 
BASF,BASF India 
BASML,Bannari Amman Spinning Mills 
BATAINDIA,Bata India 
BAYERCROP,Bayer Cropscience 
BBL,Bharat Bijlee 
BBOX,Black Box 
BBTC,Bombay Burmah Trading Corporation 
BBTCL,B&B Triplewall Containers 
BCG,Brightcom Group 
BCLIND,Bcl Industries 
BCONCEPTS,Brand Concepts 
BDL,Bharat Dynamics 
BEARDSELL,Beardsell 
BECTORFOOD,Mrs. Bectors Food Specialities 
BEDMUTHA,Bedmutha Industries 
BEL,Bharat Electronics 
BEML,BEML 
BEPL,Bhansali Engineering Polymers 
BERGEPAINT,Berger Paints (I) 
BFINVEST,BF Investment 
BFUTILITIE,BF Utilities 
BGRENERGY,BGR Energy Systems 
BHAGCHEM,Bhagiradha Chemicals & Industries 
BHAGERIA,Bhageria Industries 
BHAGYANGR,Bhagyanagar India 
BHANDARI,Bhandari Hosiery Exports 
BHARATFORG,Bharat Forge 
BHARATGEAR,Bharat Gears 
BHARATRAS,Bharat Rasayan 
BHARATWIRE,Bharat Wire Ropes 
BHARTIARTL,Bharti Airtel 
BHEL,Bharat Heavy Electricals 
BIGBLOC,Bigbloc Construction 
BIKAJI,Bikaji Foods International 
BIL,Bhartiya International 
BINANIIND,Binani Industries 
BIOCON,Biocon 
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals 
BIRLACABLE,Birla Cable 
BIRLACORPN,Birla Corporation 
BIRLAMONEY,Aditya Birla Money 
BKMINDST,Bkm Industries 
BLAL,BEML Land Assets 
BLBLIMITED,BLB 
BLISSGVS,Bliss GVS Pharma 
BLKASHYAP,B. L. Kashyap and Sons 
BLS,BLS International Services 
BLSE,BLS E-Services 
